modelling_index,brand,year,model,title,used_or_new,transmission,engine_size_litres,drive_type,fuel_type,fuel_consumption_per_100km,kilometres,cylinders,body_type,doors,seats,price,colour_ext,colour_int,region,state,vehicle_age,km_per_year
13,Toyota,2016,HiAce,2016 Toyota HiAce LWB,USED,Automatic,3.0,Rear,Diesel,8.0,229829,4,Commercial,4,2,27995,White,Grey,Lidcombe,NSW,7,32832.71428571428
14,Volkswagen,2012,Golf,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,1.4,Front,Premium,6.2,55676,4,Hatchback,5,5,14999,White,Black,Five Dock,NSW,11,5061.454545454545
15,BMW,2014,X3,2014 BMW X3 Xdrive 20D,USED,Automatic,2.0,4WD,Diesel,5.6,82624,4,SUV,4,5,24985,Black,Black,Haberfield,NSW,9,9180.444444444445
16,Mitsubishi,2013,Outlander,2013 Mitsubishi Outlander ES,USED,Manual,,Other,,,120020,,Wagon,,,13999,Blue,Grey,Blacktown,NSW,10,12002.0
17,BMW,2011,118D,2011 BMW 118D,USED,Automatic,2.0,Rear,Diesel,5.4,95204,4,Hatchback,5,5,13999,Silver,,Five Dock,NSW,12,7933.666666666667
18,Ford,2014,Fiesta,2014 Ford Fiesta Sport,USED,Automatic,1.0,Front,Unleaded,5.4,76289,3,Hatchback,5,5,12400,White,Black,Cabramatta,NSW,9,8476.555555555555
19,Mitsubishi,2012,Outlander,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,2.4,AWD,Unleaded,7.5,219681,4,SUV,4,7,13999,Black,Black,Blacktown,NSW,11,19971.0
20,Ford,2013,Fiesta,2013 Ford Fiesta Zetec,USED,Automatic,1.6,Front,Unleaded,6.1,98079,4,Hatchback,5,5,11999,Blue,Black,Blacktown,NSW,10,9807.9
21,Honda,2018,Jazz,2018 Honda Jazz VTI,USED,Automatic,1.5,Front,Unleaded,5.8,43274,4,Hatchback,5,5,19900,Silver,Black,Castle Hill,NSW,5,8654.8
22,Subaru,2012,Outback,2012 Subaru Outback 2.5I,USED,Automatic,2.5,AWD,Premium,8.4,105672,4,SUV,4,5,17990,Black,,Glebe,NSW,11,9606.545454545454
23,Mitsubishi,2018,Mirage,2018 Mitsubishi Mirage ES,USED,Automatic,1.2,Front,Unleaded,4.7,36836,3,Hatchback,5,5,14995,Black,,Camden,NSW,5,7367.2
24,Toyota,2005,Camry,2005 Toyota Camry Altise,USED,Automatic,2.4,Front,Unleaded,9.8,115821,4,Sedan,4,5,8499,Silver,Grey,Lansvale,NSW,18,6434.5
25,BMW,2013,3,2013 BMW 3 Series 28i,USED,Automatic,,Other,Unleaded,,143119,,,,,21999,Black,,Rouse Hill,NSW,10,14311.9
26,Hyundai,2011,I45,2011 Hyundai I45 Active,USED,Automatic,2.4,Front,Unleaded,7.9,189711,4,Sedan,4,5,12990,Silver,Black,Croydon,NSW,12,15809.25
27,Ford,2015,Territory,2015 Ford Territory TS (rwd),USED,Automatic,2.7,Rear,Diesel,8.2,173786,6,SUV,4,7,16999,Blue,Black,Blacktown,NSW,8,21723.25
28,Nissan,2018,Qashqai,2018 Nissan Qashqai ST,USED,Automatic,2.0,Front,Unleaded,6.9,114301,4,SUV,4,5,21950,Blue,,Pendle Hill,NSW,5,22860.2
29,Volkswagen,2013,Golf,2013 Volkswagen Golf GTI,USED,Manual,2.0,Front,Premium,6.6,69197,4,Hatchback,5,5,24880,Black,Black,Blacktown,NSW,10,6919.7
30,Hyundai,2015,Tucson,2015 Hyundai Tucson Active (fwd),USED,Automatic,2.0,Front,Unleaded,7.9,94377,4,SUV,4,5,23888,Grey,,Mcgraths Hill,NSW,8,11797.125
31,Ford,2016,Focus,2016 Ford Focus Trend,USED,Automatic,1.5,Front,Unleaded,6.2,94965,4,Hatchback,5,5,16999,White,Black,Blacktown,NSW,7,13566.42857142857
32,Nissan,2019,X-Trail,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,2.5,Front,Unleaded,8.1,99294,4,SUV,4,7,24490,Grey,,Blacktown,NSW,4,24823.5
33,Toyota,2021,Corolla,2021 Toyota Corolla ZR Hybrid,USED,Automatic,1.8,Front,Hybrid,4.2,13694,4,Hatchback,5,5,44878,Black,,Blacktown,NSW,2,6847.0
34,Toyota,2007,Yaris,2007 Toyota Yaris YRS,USED,Automatic,1.5,Front,Unleaded,6.7,264691,4,Sedan,4,5,7949,Silver,,Lansvale,NSW,16,16543.1875
35,Jeep,2012,Grand,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,,Other,Unleaded,,224839,,Wagon,,,13999,Red,,Rouse Hill,NSW,11,20439.909090909092
36,Toyota,2010,Corolla,2010 Toyota Corolla Conquest,USED,Manual,1.8,Front,Unleaded,7.7,238270,4,Hatchback,5,5,8800,Grey,,Smithfield,NSW,13,18328.46153846154
37,Toyota,2009,HiAce,2009 Toyota HiAce (No Badge),USED,Automatic,,Rear,Unleaded,,76259,,Commercial,,,32900,White,Black,Ingleburn,NSW,14,5447.071428571428
38,Jeep,2015,Patriot,2015 Jeep Patriot Limited (4X4),USED,Automatic,2.4,4WD,Unleaded,9.1,140964,4,SUV,4,5,13990,Black,,Seven Hills,NSW,8,17620.5
39,Toyota,2003,HiAce,2003 Toyota HiAce,USED,Automatic,2.4,Rear,Unleaded,0.0,266848,4,Commercial,4,3,9999,White,Grey,Five Dock,NSW,20,13342.4
40,Volvo,2013,S60,2013 Volvo S60 T4 Teknik,USED,Automatic,1.6,Front,Premium,7.4,141000,4,Sedan,4,5,14999,Blue,,Blacktown,NSW,10,14100.0
41,Mitsubishi,2016,Triton,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,2.4,4WD,Diesel,7.6,240402,4,Ute / Tray,4,5,22750,White,,Haberfield,NSW,7,34343.142857142855
42,Mercedes-Benz,2010,E250,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,1.8,Rear,Premium,7.9,101126,4,Coupe,2,4,21950,Black,Tobacco,Glebe,NSW,13,7778.923076923077
43,Mercedes-Benz,2013,A250,2013 Mercedes-Benz A250 Sport,USED,Automatic,2.0,Front,Premium,6.6,117254,4,Hatchback,5,5,19999,White,,Five Dock,NSW,10,11725.4
44,Toyota,2012,86,2012 Toyota 86 GT,USED,Manual,2.0,Rear,Premium,7.8,178747,4,Coupe,2,4,19900,Silver,Black,Granville,NSW,11,16249.727272727272
45,Mazda,2022,CX-5,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,2.5,AWD,Unleaded,7.5,10579,4,SUV,4,5,37990,Black,Black,Five Dock,NSW,1,10579.0
46,Toyota,2010,Corolla,2010 Toyota Corolla Ascent,USED,Automatic,1.8,Front,Unleaded,7.7,167101,4,Hatchback,5,5,12990,Red,,Minchinbury,NSW,13,12853.923076923076
47,Ford,2013,Falcon,2013 Ford Falcon XR6,USED,Automatic,4.0,Rear,Unleaded,9.9,163161,6,Sedan,4,5,16999,Blue,Black,Blacktown,NSW,10,16316.1
48,Abarth,2021,595,2021 Abarth 595 Competizione,USED,Manual,1.4,Front,Premium,6.0,13200,4,Hatchback,3,4,36990,Black,Black,Ryde,NSW,2,6600.0
49,Honda,2014,CR-V,2014 Honda CR-V VTI-L (4X4),USED,Automatic,2.4,4WD,Unleaded,8.7,103211,4,SUV,4,5,23880,White,Black Cloth,Blacktown,NSW,9,11467.888888888889
50,Toyota,2007,Corolla,2007 Toyota Corolla Ultima,USED,Automatic,1.8,Front,Unleaded,7.4,177751,4,Sedan,4,5,10990,Silver,,Minchinbury,NSW,16,11109.4375
51,Toyota,2016,HiAce,2016 Toyota HiAce Commuter,USED,Automatic,2.7,Rear,Unleaded,10.9,119614,4,People Mover,3,14,44900,Silver,Black,Ingleburn,NSW,7,17087.714285714286
52,Hyundai,2012,I30,2012 Hyundai I30 Active,USED,Automatic,1.8,Front,Unleaded,6.9,125546,4,Hatchback,5,5,15880,Black,Black Cloth,Blacktown,NSW,11,11413.272727272728
53,Mazda,2013,6,2013 Mazda 6 Touring,USED,Automatic,2.5,Front,Unleaded,6.6,163000,4,Sedan,4,5,16995,Grey,Black,Minchinbury,NSW,10,16300.0
54,Toyota,2008,Kluger,2008 Toyota Kluger KX-S (fwd),USED,Automatic,3.5,Front,Unleaded,11.0,132864,6,SUV,4,7,19880,Blue,Black,Blacktown,NSW,15,8857.6
55,Hyundai,2018,Santa,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,2.2,AWD,Diesel,7.8,71655,4,SUV,4,7,43999,White,Black,Homebush,NSW,5,14331.0
56,BMW,2012,X3,2012 BMW X3 Xdrive 20D,USED,Automatic,2.0,4WD,Diesel,5.6,109459,4,SUV,4,5,18888,Black,,Blacktown,NSW,11,9950.818181818182
57,Holden,2016,Cascada,2016 Holden Cascada,USED,Automatic,1.6,Front,Premium,7.5,65361,4,Convertible,2,4,24995,Silver,Black Leather,Minchinbury,NSW,7,9337.285714285714
58,Mercedes-Benz,2006,ML320,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,3.0,4WD,Diesel,9.6,212953,6,SUV,4,5,9998,Silver,,Five Dock,NSW,17,12526.64705882353
59,Mitsubishi,2009,Lancer,2009 Mitsubishi Lancer ES,USED,Automatic,2.0,Front,Unleaded,8.2,163012,4,Sedan,4,5,9990,Red,,Minchinbury,NSW,14,11643.714285714286
60,Audi,2014,A5,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,6.7,82119,4,Coupe,2,4,27380,White,Black,Blacktown,NSW,9,9124.333333333334
61,Kia,2018,RIO,2018 Kia RIO GT-Line,USED,Automatic,1.0,Front,Unleaded,5.4,42071,3,Hatchback,5,5,24999,Red,Black,Homebush,NSW,5,8414.2
62,Jeep,2015,Cherokee,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,3.2,4WD,Unleaded,10.0,85958,6,SUV,4,5,17999,Red,Black Cloth,Elderslie,NSW,8,10744.75
63,Volkswagen,2011,Tiguan,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,2.0,AWD,Premium,8.8,118642,4,SUV,4,5,12990,Black,,Lidcombe,NSW,12,9886.833333333334
64,Mitsubishi,2012,ASX,2012 Mitsubishi ASX (2WD),USED,Automatic,2.0,Front,Unleaded,7.9,187265,4,SUV,4,5,13990,Blue,,Campbelltown,NSW,11,17024.090909090908
65,BMW,2016,220I,2016 BMW 220I M-Sport,USED,Automatic,2.0,Rear,Premium,6.4,118120,4,Convertible,2,4,28990,Grey,Black,Caringbah,NSW,7,16874.285714285714
66,Hyundai,2022,Tucson,2022 Hyundai Tucson (FWD),USED,Automatic,2.0,Front,Unleaded,8.1,19978,4,SUV,4,5,36800,White,,Smithfield,NSW,1,19978.0
67,Mazda,2011,3,2011 Mazda 3 NEO,USED,Automatic,2.0,Front,Unleaded,8.2,86804,4,Sedan,4,5,13999,Grey,Grey,Lansvale,NSW,12,7233.666666666667
68,Hyundai,2014,Imax,2014 Hyundai Imax,USED,Automatic,2.5,Rear,Diesel,9.0,183550,4,Wagon,4,8,19888,White,Grey  Cloth,Bankstown,NSW,9,20394.444444444445
69,Toyota,2014,Yaris,2014 Toyota Yaris YR,USED,Automatic,1.3,Front,Unleaded,6.3,191748,4,Hatchback,5,5,8995,Green,Black,Bankstown,NSW,9,21305.333333333332
70,Toyota,2016,Kluger,2016 Toyota Kluger Grande (4X2),USED,Automatic,3.5,Front,Unleaded,10.4,139637,6,SUV,4,7,31900,Grey,Black,Five Dock,NSW,7,19948.14285714286
71,Mitsubishi,2013,Lancer,2013 Mitsubishi Lancer LX,USED,Automatic,2.0,Front,Unleaded,7.2,165306,4,Sedan,4,5,14995,Grey,Black,Minchinbury,NSW,10,16530.6
72,Subaru,2016,XV,2016 Subaru XV 2.0I-L,USED,Automatic,2.0,AWD,Unleaded,7.1,104887,4,SUV,4,5,22990,Grey,Black,North Narrabeen,NSW,7,14983.857142857143
73,Mini,2017,Cooper,2017 Mini Cooper S 5D Hatch,USED,Automatic,2.0,Front,Premium,5.5,72501,4,Hatchback,5,5,31990,Yellow,,Blacktown,NSW,6,12083.5
74,Peugeot,2015,308,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,,Other,Unleaded,,167127,,Hatchback,,,12999,White,,Rouse Hill,NSW,8,20890.875
75,Holden,2010,Commodore,2010 Holden Commodore SS-V,USED,Manual,6.0,Rear,Unleaded,14.5,169220,8,Ute / Tray,2,2,25999,Black,,Blacktown,NSW,13,13016.923076923076
76,Hyundai,2015,I20,2015 Hyundai I20 Active,USED,Automatic,1.4,Front,Unleaded,5.9,111783,4,Hatchback,5,5,13990,Silver,Grey,Croydon,NSW,8,13972.875
77,Mazda,2018,BT-50,2018 Mazda BT-50 XTR (4X2),USED,Automatic,3.2,Rear,Diesel,9.3,97460,5,Ute / Tray,4,5,30990,White,Grey,Haberfield,NSW,5,19492.0
78,Mazda,2009,3,2009 Mazda 3 Maxx,USED,Automatic,2.0,Front,Unleaded,8.2,178389,4,Sedan,4,5,8499,Black,,Chester Hill,NSW,14,12742.07142857143
79,Hyundai,2011,I20,2011 Hyundai I20 Active,USED,Automatic,1.4,Front,Unleaded,6.4,188262,4,Hatchback,5,5,10995,Blue,,Minchinbury,NSW,12,15688.5
80,Honda,2015,Vezel,2015 Honda Vezel Hybrid Z,USED,Automatic,,Other,Unleaded,,71059,,Wagon,,,24888,Grey,,Blacktown,NSW,8,8882.375
81,Mazda,2010,CX-7,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,2.3,AWD,Unleaded,11.5,152831,4,SUV,4,5,11669,Black,Leather,Liverpool,NSW,13,11756.23076923077
82,Jeep,2017,Renegade,2017 Jeep Renegade Limited,USED,Automatic,1.4,Front,Premium,5.9,69218,4,SUV,4,5,24950,Grey,Black,Glebe,NSW,6,11536.333333333334
83,Mazda,2013,6,2013 Mazda 6 Sport,USED,Automatic,2.5,Front,Unleaded,6.6,124093,4,Sedan,4,5,16990,White,,West Ryde,NSW,10,12409.3
84,Nissan,2009,Elgrand,2009 Nissan Elgrand Highway Star,USED,Automatic,,Rear,Unleaded,,103090,,Wagon,,,19995,White,Brown,Five Dock,NSW,14,7363.571428571428
85,Kia,2013,Grand,2013 Kia Grand Carnival SLI,USED,Automatic,3.5,Front,Unleaded,10.9,98672,6,Wagon,4,8,13995,White,,Minchinbury,NSW,10,9867.2
86,Mitsubishi,2015,Lancer,2015 Mitsubishi Lancer ES Sport,USED,Automatic,2.0,Front,Unleaded,7.2,61481,4,Sedan,4,5,17995,Grey,Black,Minchinbury,NSW,8,7685.125
87,Subaru,2018,Impreza,2018 Subaru Impreza 2.0I (awd),USED,Automatic,2.0,AWD,Unleaded,6.6,61177,4,Hatchback,5,5,22990,Grey,,Seven Hills,NSW,5,12235.4
88,Mazda,2014,3,2014 Mazda 3 NEO,USED,Automatic,2.0,Front,Unleaded,8.2,132648,4,Hatchback,5,5,16999,Red,Black  Cloth,Granville,NSW,9,14738.666666666666
89,BMW,2021,X4,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,2.0,AWD,Unleaded,7.3,31367,4,SUV,5,5,79988,Grey,,Sylvania,NSW,2,15683.5
90,Mazda,2010,CX-7,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,2.3,AWD,Unleaded,11.5,174818,4,SUV,4,5,12800,Red,,Kirrawee,NSW,13,13447.538461538461
91,Audi,2015,A5,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,6.7,115334,4,Coupe,2,4,26880,Grey,Black,Blacktown,NSW,8,14416.75
92,BMW,2014,118I,2014 BMW 118I,USED,Automatic,1.6,Rear,Premium,5.8,57000,4,Hatchback,5,5,16990,White,Black,Cabramatta,NSW,9,6333.333333333333
93,Mercedes-Benz,2012,C-CLASS,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,,Other,Unleaded,,162775,,,,,16999,Black,,Rouse Hill,NSW,11,14797.727272727272
94,Toyota,2013,HiAce,2013 Toyota HiAce DX,USED,Automatic,,Other,Diesel,,191173,,Commercial,,,30900,Silver,Black,Ingleburn,NSW,10,19117.3
95,Subaru,2007,Impreza,2007 Subaru Impreza WRX STI,USED,Manual,,Other,Unleaded,,146077,,,,,34888,Black,Grey/Black,Smeaton Grange,NSW,16,9129.8125
96,Audi,2014,Q7,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,4.1,AWD,Diesel,9.2,199941,8,SUV,4,7,28999,Black,,Five Dock,NSW,9,22215.666666666668
97,Suzuki,2015,Celerio,2015 Suzuki Celerio,USED,Automatic,1.0,Front,Unleaded,4.8,23316,3,Hatchback,5,4,13880,Blue,,Blacktown,NSW,8,2914.5
98,Subaru,2016,Liberty,2016 Subaru Liberty 3.6R,USED,Automatic,3.6,AWD,Premium,9.9,226127,6,Sedan,4,5,17950,White,,Minto,NSW,7,32303.85714285714
99,Toyota,2019,C-HR,2019 Toyota C-HR (2WD),USED,Manual,1.2,Front,Premium,5.4,58185,4,SUV,4,5,33888,Yellow,,Blacktown,NSW,4,14546.25
100,Subaru,2021,Forester,2021 Subaru Forester 2.5I (awd),USED,Automatic,2.5,AWD,Unleaded,7.4,16136,4,SUV,4,5,39990,Silver,,Windsor,NSW,2,8068.0
101,Mazda,2015,CX-3,2015 Mazda CX-3 S Touring (awd),USED,Automatic,2.0,AWD,Unleaded,6.7,31531,4,SUV,4,5,23950,White,,Penrith,NSW,8,3941.375
102,Jeep,2018,Grand,2018 Jeep Grand Cherokee Limited (4X4),USED,Automatic,3.0,4WD,Diesel,7.5,76472,6,SUV,4,5,41950,White,Black,Glebe,NSW,5,15294.4
103,Hyundai,2018,I30,2018 Hyundai I30 Active,USED,Automatic,2.0,Front,Unleaded,7.4,62719,4,Hatchback,4,5,21999,Silver,Black,Homebush,NSW,5,12543.8
104,Nissan,2020,X-Trail,2020 Nissan X-Trail ST (2WD),USED,Automatic,2.5,Front,Unleaded,7.9,52035,4,SUV,4,5,27990,Grey,,Windsor,NSW,3,17345.0
105,Honda,2010,City,2010 Honda City VTI,USED,Automatic,1.5,Front,Unleaded,6.6,146445,4,Sedan,4,5,8950,Black,,Kogarah,NSW,13,11265.0
106,Honda,2020,CR-V,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,1.5,Front,Unleaded,7.3,35214,4,SUV,4,7,37880,Grey,Black,Blacktown,NSW,3,11738.0
107,Holden,2014,Cruze,2014 Holden Cruze SRI,USED,Manual,1.6,Front,Unleaded,7.4,163000,4,Hatchback,5,5,7950,Red,,South Windsor,NSW,9,18111.11111111111
108,Jeep,2013,Grand,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,3.6,Rear,Premium,10.1,69001,6,SUV,4,5,24990,Grey,Black,Artarmon,NSW,10,6900.1
109,Toyota,2007,RAV4,2007 Toyota RAV4 Cruiser L (4X4),USED,Automatic,2.4,4WD,Unleaded,9.6,106718,4,SUV,4,5,14999,Silver,Grey,Lansvale,NSW,16,6669.875
110,Holden,2016,Commodore,2016 Holden Commodore Evoke,USED,Automatic,3.0,Rear,Unleaded,8.3,59689,6,Sedan,4,5,22999,Red,Black,Blacktown,NSW,7,8527.0
111,Mercedes-Benz,2010,CLC200,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,1.8,Rear,Premium,9.0,177834,4,Coupe,2,4,7999,Silver,,Five Dock,NSW,13,13679.538461538461
112,Dodge,2012,Journey,2012 Dodge Journey JC SXT Wagon 4dr Auto 6sp 3.6i 7 St SUV,USED,Automatic,,Other,Unleaded,,147589,,Wagon,,,10999,White,,Rouse Hill,NSW,11,13417.181818181818
113,Mazda,2013,6,2013 Mazda 6 Atenza,USED,Automatic,2.5,Front,Unleaded,6.6,105767,4,Sedan,4,5,19999,White,Black,Homebush,NSW,10,10576.7
114,Volkswagen,2018,Caddy,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,1.4,Front,Premium,6.0,87293,4,Commercial,3,2,30999,White,,Blacktown,NSW,5,17458.6
115,Honda,2013,Civic,2013 Honda Civic VTI-L,USED,Automatic,1.8,Front,Unleaded,6.7,154347,4,Sedan,4,5,15990,Silver,,Minchinbury,NSW,10,15434.7
116,Jeep,2021,Compass,2021 Jeep Compass Launch Edition,USED,Automatic,2.4,Front,Unleaded,7.9,20827,4,SUV,4,5,32888,White,Black,Ryde,NSW,2,10413.5
117,Toyota,2008,HiAce,2008 Toyota HiAce Commuter GL Grand Cabin,USED,Automatic,,Other,Unleaded,,112980,,Commercial,,,31900,White,Black,Ingleburn,NSW,15,7532.0
118,Mazda,2014,CX-9,2014 Mazda CX-9 Classic,USED,Automatic,,Other,,,97745,,Wagon,,,22999,Blue,Grey,Blacktown,NSW,9,10860.555555555555
119,Toyota,2010,Yaris,2010 Toyota Yaris YR,USED,Automatic,1.3,Front,Unleaded,6.5,147626,4,Hatchback,5,5,10995,White,,Minchinbury,NSW,13,11355.846153846154
120,Jeep,2014,Grand,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,3.0,4WD,Diesel,7.5,114424,6,SUV,4,5,29990,Grey,Black,Castle Hill,NSW,9,12713.777777777777
121,Mazda,2009,3,2009 Mazda 3 SP25,USED,Manual,2.5,Front,Unleaded,8.6,153020,4,Hatchback,5,5,13950,Red,,Liverpool,NSW,14,10930.0
122,Ford,2016,Ranger,2016 Ford Ranger XLT 3.2 (4X4),USED,Automatic,3.2,4WD,Diesel,9.0,98700,5,Ute / Tray,4,5,36999,Blue,,Five Dock,NSW,7,14100.0
123,Holden,2011,Captiva,2011 Holden Captiva CG 7 LX Wagon 7st 4dr Spts Auto 6sp 4x4 2.2DT,USED,Automatic,,Other,Diesel,,183924,,Wagon,,,9990,White,,Granville,NSW,12,15327.0
124,Toyota,2013,86,2013 Toyota 86 GTS,USED,Automatic,2.0,Rear,Premium,7.1,103706,4,Coupe,2,4,24990,Orange,Grey,Croydon,NSW,10,10370.6
125,Volkswagen,2013,Golf,2013 Volkswagen Golf 103 TSI Highline,USED,Automatic,1.4,Front,Premium,5.2,126532,4,Hatchback,5,5,13990,Gold,Black,Cabramatta,NSW,10,12653.2
126,Mitsubishi,2013,Lancer,2013 Mitsubishi Lancer LX Sportback,USED,Automatic,2.0,Front,Unleaded,7.3,73421,4,Hatchback,5,5,16990,Grey,Black,Brookvale,NSW,10,7342.1
127,Toyota,2009,Camry,2009 Toyota Camry Ateva,USED,Automatic,2.4,Front,Unleaded,9.9,155135,4,Sedan,4,5,10995,White,Black,Minchinbury,NSW,14,11081.07142857143
128,Hyundai,2013,I20,2013 Hyundai I20 Active,USED,Automatic,1.4,Front,Unleaded,6.4,123330,4,Hatchback,5,5,12990,Grey,Black,Brookvale,NSW,10,12333.0
129,Mitsubishi,2014,Lancer,2014 Mitsubishi Lancer GSR Sportback,USED,Automatic,2.4,Front,Unleaded,8.9,44249,4,Hatchback,5,5,18990,Silver,Black,Arncliffe,NSW,9,4916.555555555556
130,Mazda,2018,2,2018 Mazda 2 Maxx,USED,Automatic,1.5,Front,Unleaded,4.9,27100,4,Hatchback,5,5,23999,Silver,Cloth,Darlinghurst,NSW,5,5420.0
131,Mazda,2009,3,2009 Mazda 3 Maxx Sport,USED,Automatic,2.0,Front,Unleaded,8.2,70661,4,Hatchback,5,5,14995,White,,Minchinbury,NSW,14,5047.214285714285
132,Mitsubishi,2014,Triton,2014 Mitsubishi Triton GLX (4X4),USED,Automatic,2.5,4WD,Diesel,9.3,215100,4,Ute / Tray,4,5,18995,White,,Eastern Creek,NSW,9,23900.0
133,Volkswagen,2014,Golf,2014 Volkswagen Golf 90 TSI Comfortline,USED,Automatic,1.4,Front,Premium,5.4,155036,4,Hatchback,5,5,14990,Black,Black,Castle Hill,NSW,9,17226.222222222223
134,BMW,2012,M135I,2012 BMW M135I,USED,Automatic,3.0,Rear,Premium,7.5,67678,6,Hatchback,5,5,29950,Grey,Black Leather,Rydalmere,NSW,11,6152.545454545455
135,Holden,2015,Commodore,2015 Holden Commodore SV6 Storm,USED,Automatic,3.6,Rear,Unleaded,9.8,133934,6,Wagon,4,5,22999,White,Black,Homebush,NSW,8,16741.75
136,Volkswagen,2008,Golf,2008 Volkswagen Golf GTI,USED,Automatic,2.0,Front,Premium,8.0,174915,4,Hatchback,5,5,14990,Silver,,Cabramatta,NSW,15,11661.0
137,Holden,2014,Cruze,2014 Holden Cruze Equipe,USED,Automatic,1.8,Front,Unleaded,7.4,117000,4,Sedan,4,5,7888,Silver,,Windsor,NSW,9,13000.0
138,Hyundai,2018,Imax,2018 Hyundai Imax Active,USED,Automatic,2.5,Rear,Diesel,8.8,190176,4,Wagon,4,8,27990,Grey,Grey,Cabramatta,NSW,5,38035.2
139,Mitsubishi,2013,Triton,2013 Mitsubishi Triton GLX (4X4),USED,Manual,2.5,4WD,Diesel,9.1,231675,4,Ute / Tray,4,5,19800,White,,Smithfield,NSW,10,23167.5
